"Name"	"Time"	"Stream"	"key"	"value"	"std_p"	"Mw"	"Concentration"	"start_vol"	"Recovery"	"plot"
"ID:7B"	6.5	"Feed"	"Mg"	6.2695	0.00575204495422506	24.305	0.257951038880889	8.45	78.4615384615385	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	6.5	"Permeate"	"Mg"	1.4495	0.0434166978445	24.305	0.0596379345813619	8.45	78.4615384615385	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	0	"Feed"	"SiO2"	65.4	0.0305810397553517	60.08	1.08854860186418	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	1.5	"Feed"	"SiO2"	69.6	0.028735632183908	60.08	1.15845539280959	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	4	"Feed"	"SiO2"	77.8	0.025706940874036	60.08	1.29494007989348	10	40.8	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	7	"Feed"	"SiO2"	101.6	0.0196850393700787	60.08	1.69107856191744	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	8.5	"Feed"	"SiO2"	118	0.0169491525423729	60.08	1.96404793608522	10	86.7	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	0	"Feed"	"SiO2"	45	0.0444444444444444	60.08	0.749001331557923	8.5	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	1.5	"Feed"	"SiO2"	44.8	0.0446428571428571	60.08	0.745672436750999	8.5	18	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	4	"Feed"	"SiO2"	45	0.0444444444444444	60.08	0.749001331557923	8.5	48	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	6.5	"Feed"	"SiO2"	48	0.0416666666666667	60.08	0.798934753661784	8.5	78	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	7.25	"Feed"	"SiO2"	48.4	0.0413223140495868	60.08	0.805592543275632	8.5	87	"Ca, Cl, Mg, SiO2, SO4"
